project_id,state,district,project_type,land_type,land_area_hectares,affected_families,notification_date,approval_expected_days,approval_actual_days,approval_date,compensation_status,compensation_delay_days,legal_disputes_count,documentation_completeness_pct,rehab_status,rehab_progress_pct,stakeholder_responsiveness_score,delayed
WB-AUD-0001,West Bengal,Howrah,HIGHWAY,Agricultural,21.79,75,2025-07-17,241,211,2026-02-13,Not Started,82,3,71,In Progress,72,7.2,0
WB-AUD-0002,West Bengal,Hooghly,INFRASTRUCTURE,Agricultural,3.38,36,2023-09-11,188,120,2024-01-09,In Progress,23,1,77,In Progress,68,9.7,0
WB-AUD-0003,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Urban,2.81,35,2024-01-14,123,211,2024-08-12,Not Started,109,3,53,In Progress,74,5.5,1
WB-AUD-0004,West Bengal,Howrah,INDUSTRIAL_PARK,Agricultural,5.12,39,2022-03-05,119,380,2023-03-20,Not Started,106,4,95,In Progress,59,5.9,1
WB-AUD-0005,West Bengal,North 24 Parganas,HIGHWAY,Agricultural,2.01,31,2023-05-15,181,447,2024-08-04,Not Started,91,4,65,In Progress,62,4.1,1
WB-AUD-0006,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Agricultural,15.88,64,2025-03-08,222,214,2025-10-08,In Progress,30,0,45,In Progress,75,3.8,0
WB-AUD-0007,West Bengal,North 24 Parganas,OTHER,Agricultural,17.26,53,2022-06-13,184,132,2022-10-23,In Progress,18,1,85,In Progress,48,6.3,0
WB-AUD-0008,West Bengal,Howrah,HIGHWAY,Agricultural,46.62,172,2025-07-11,177,101,2025-10-20,In Progress,16,2,75,In Progress,57,8.1,0
WB-AUD-0009,West Bengal,South 24 Parganas,HIGHWAY,Agricultural,5.72,41,2025-08-23,103,214,2026-03-25,Not Started,98,4,100,In Progress,55,3.3,1
WB-AUD-0010,West Bengal,Hooghly,RAILWAY,Agricultural,1.08,14,2023-02-19,229,224,2023-10-01,In Progress,10,1,100,In Progress,54,5.0,0
WB-AUD-0011,West Bengal,North 24 Parganas,POWER,Agricultural,2.62,35,2024-05-25,281,530,2025-11-06,In Progress,25,1,61,In Progress,65,3.6,1
WB-AUD-0012,West Bengal,Hooghly,POWER,Agricultural,33.18,115,2023-11-29,168,317,2024-10-11,Not Started,119,3,78,In Progress,58,8.1,1
WB-AUD-0013,West Bengal,Hooghly,URBAN_DEVELOPMENT,Mixed,15.48,43,2023-01-26,148,146,2023-06-21,In Progress,16,1,82,In Progress,54,4.3,0
